1.85	1.3	2.4	1.85	1.85	1.85	1.85	1.85	1.85	1.85	1.85	1.85	1.85	1.85	1.85	1.85	1.85	1.85	1.85	1.85	1.85	1.85
1.15	1.15	1.15	1	1.3	1.15	1.15	1.15	1.15	1.15	1.15	1.15	1.15	1.15	1.15	1.15	1.15	1.15	1.15	1.15	1.15	1.15
0.0013	0.0013	0.0013	0.0013	0.0013	0.00125	0.00135	0.0013	0.0013	0.0013	0.0013	0.0013	0.0013	0.0013	0.0013	0.0013	0.0013	0.0013	0.0013	0.0013	0.0013	0.0013
0.0037	0.0037	0.0037	0.0037	0.0037	0.0037	0.0037	0.0032	0.0042	0.0037	0.0037	0.0037	0.0037	0.0037	0.0037	0.0037	0.0037	0.0037	0.0037	0.0037	0.0037	0.0037
0.52	0.52	0.52	0.52	0.52	0.52	0.52	0.52	0.52	0.48	0.56	0.52	0.52	0.52	0.52	0.52	0.52	0.52	0.52	0.52	0.52	0.52
0.23	0.23	0.23	0.23	0.23	0.23	0.23	0.23	0.23	0.23	0.23	0.19	0.27	0.23	0.23	0.23	0.23	0.23	0.23	0.23	0.23	0.23
273.75	273.75	273.75	273.75	273.75	273.75	273.75	273.75	273.75	273.75	273.75	273.75	273.75	273.25	274.25	273.75	273.75	273.75	273.75	273.75	273.75	273.75
0.81	0.81	0.81	0.81	0.81	0.81	0.81	0.81	0.81	0.81	0.81	0.81	0.81	0.81	0.81	0.77	0.84	0.81	0.81	0.81	0.81	0.81
7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	15	7	7	7	7
350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	300	350	350	350
6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	4	8	6
300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	200
